l1_pt,l1_eta,l1_phi,l1_energy,l2_pt,l2_eta,l2_phi,l2_energy,l3_pt,l3_eta,l3_phi,l3_energy,l4_pt,l4_eta,l4_phi,l4_energy,n
128.4804,0.92615664,-1.2479155,187.6366,88.114,1.077806,2.1246738,144.4438,48.22378,0.11594369,1.0862557,48.54828,17.404007,0.8074887,2.896184,23.39313,0.030689606658970255
55.572094,0.8073305,1.8595304,74.68785,30.428894,1.4270614,-2.047247,67.04172,28.04926,-0.80007935,-0.34176943,37.51604,17.161432,-1.1030818,-1.3742049,28.70495,0.01172712717714296
55.92905,-0.12493115,1.170162,56.36608,55.102505,-0.72631216,-1.8583919,70.28687,29.30839,0.9541124,-2.3139467,43.69176,26.675598,0.48141035,1.0337346,29.82687,0.03664309514139388
49.582108,1.4730585,0.070408896,113.8351,37.628185,0.52175385,-2.3888316,42.86714,23.559464,-1.3974425,1.8809048,50.55944,14.809948,1.7478734,-3.1281505,43.81169,0.06461907798667733
85.81747,-0.5130928,0.31854546,97.36382,54.419994,-0.6570666,2.9442632,66.59633,31.983679,0.44517243,-1.8487195,35.20561,20.517202,-1.234391,-2.804316,38.23685,0.0428501529466855
61.024754,0.54893076,-2.0762577,70.45209,48.440147,-0.46286607,1.6153167,53.72249,33.673275,0.86942095,-0.682335,47.22211,26.821037,1.5854272,1.3615698,68.20907,0.008098629134708777
78.41575,-0.4138497,1.8821872,85.22734,65.64271,-1.2714875,-1.7968941,126.2495,41.23101,-2.1735992,-0.0077272635,183.5529,10.648962,1.6967508,-1.8067094,30.02724,0.013146296166220388
76.03634,0.68884325,-1.0746951,94.80086,38.596516,-0.17735575,2.7142663,39.20513,37.677155,-1.7875193,1.0478989,115.7063,26.976337,1.1002861,2.399509,45.02083,0.035277482747046125
52.819794,-1.4043968,1.9146222,114.0533,50.70388,-0.658792,-2.194872,62.11055,42.049496,-0.46755213,0.68911546,46.72995,38.364613,-1.2902615,-1.1696721,74.9824,0.02951818386868128
64.62457,2.4398096,2.088727,373.4665,40.32003,2.1328177,0.017454775,172.5116,38.53208,1.3923298,-1.4797232,82.31821,21.938902,-0.82274944,-2.1399734,29.79274,0.031448920128277824
51.052334,-1.1618196,-0.623502,89.56262,45.5614,-0.47384822,1.0785972,50.77283,44.334984,-0.08840717,-2.4083922,44.50836,35.71542,-0.43362156,2.5698118,39.12611,0.03471828996375465
58.24413,0.577542,-2.599565,68.23096,46.284145,-0.5914531,0.6355741,54.6184,38.16574,0.76193225,-0.16304494,49.79056,26.501842,1.3034711,2.8044846,52.38941,0.04165425848836717
81.47939,0.6274489,0.48669264,98.05145,60.17397,0.06956914,3.1270976,60.31965,24.352644,1.2277657,-2.201082,45.13203,19.468477,1.9915127,-1.4419185,72.64756,0.03533301040992383
40.26909,0.60688055,1.3253887,47.91514,27.7511,-1.8281132,-2.469175,88.56558,21.276659,1.9664047,-1.507262,77.49919,10.589793,1.4727378,-0.05132242,24.30598,0.10584044167128007
